# source_display	source_lookup	target_display	target_lookup	type	de_noun	fr_question	target_article
# legacy rows below may still use the compact 3-column format: source	target	type
À plus !	Bis später!	phrases
À bientôt.	bis bald	phrases
À demain matin.	bis morgen früh	phrases
À quelle heure ouvre la boulangerie ?	um wie viel uhr öffnet die bäckerei	phrases
abeille		words
abeille	biene	words
abonnement		words
abonnement	abonnement	words
adaptation		words
adaptation	anpassung	words
aéroport	flughafen	words
agenda		words
ambiguïté		words
ambiguïté	mehrdeutigkeit	words
amélioration	verbesserung	words
ah	ach, ach so	words
ami	freund	words
analyse	analyse	words
annulation		words
anticipation		words
anticipation	vorausahnung	words
appartenance		words
argent	geld	words
argument		words
arrogance		words
aspirateur		words
assurance		words
attention		words
auberge		words
automne		words
automne	herbst	words
autonomie		words
autonomie	selbstständigkeit	words
avance		words
avenir	zukunft	words
bagage		words
bagage	gepäck	words
baleine		words
baleine	wal	words
banane	banane	words
banlieue		words
batterie		words
batterie	batterie	words
bébé		words
bibliothèque		words
bibliothèque	bibliothek	words
bienveillance		words
bienveillance	freundlichkeit	words
Bienvenue chez nous.	willkommen bei uns	phrases
billet	ticket	words
blanc		words
blessure		words
bleu		words
Bon appétit !	guten appetit	phrases
bof	Na ja./Es geht so.	phrases
bonjour	guten tag	words
boulangerie		words
boulangerie	bäckerei	words
bouleversement		words
bouleversement	umbruch	words
bras	arm	words
bureau	büro	words
C est parfait.	das ist perfekt	phrases
C'est parti !	Los geht's!	phrases
C est très bien.	das ist sehr gut	phrases
café	kaffee	words
cahier		words
campagne		words
candidature	bewerbung	words
carrefour		words
carrefour	kreuzung	words
cartable		words
cascade		words
cascade	wasserfall	words
Ce défi demande beaucoup d énergie.	diese herausforderung braucht viel energie	phrases
Cela va bien.	es geht gut	phrases
Ça va ?	Wie geht's?/Geht's (dir) gut?	phrases
Ça va.	Es geht mir gut.	phrases
la Tour Eiffel	der Eiffelturm	phrases
Tour Eiffel	der Eiffelturm	phrases
Ça sonne !	Es klingelt!	phrases
certitude		words
certitude	gewissheit	words
Cette candidature mérite une réponse rapide.	diese bewerbung verdient eine schnelle antwort	phrases
Cette décision aura des conséquences importantes.	diese entscheidung wird wichtige folgen haben	phrases
Cette expérience m a beaucoup appris.	diese erfahrung hat mir viel beigebracht	phrases
Cette falaise est impressionnante.	diese klippe ist beeindruckend	phrases
Cette habitude m aide à progresser.	diese gewohnheit hilft mir beim fortschritt	phrases
Cette perspective me semble plus réaliste.	diese perspektive erscheint mir realistischer	phrases
Cette proposition semble intéressante.	dieser vorschlag wirkt interessant	phrases
Cette randonnée est assez longue.	diese wanderung ist ziemlich lang	phrases
Cette rue est très calme.	diese straße ist sehr ruhig	phrases
Cette tâche demande beaucoup de précision.	diese aufgabe verlangt viel genauigkeit	phrases
chaise	stuhl	words
chargeur		words
chargeur	ladegerät	words
chat	katze	words
chaud		words
chaussure	schuh	words
chemise	hemd	words
cheval	pferd	words
cheveux	haare	words
chien	hund	words
ciel	himmel	words
circulation		words
classe		words
clavier		words
clavier	tastatur	words
clé	schlüssel	words
cohérence		words
cohérence	stimmigkeit	words
colis		words
colis	paket	words
Combien de temps faut il ?	wie lange dauert es	phrases
Comment ça va ?	wie geht es dir	phrases
complexité		words
comportement	verhalten	words
compromis		words
concours		words
confiance	vertrauen	words
confrontation		words
connaissance	wissen	words
conseil		words
conséquence		words
contrainte		words
contrainte	einschränkung	words
contrat	vertrag	words
conviction		words
conviction	überzeugung	words
coopération		words
courage	mut	words
court		words
cousin		words
cousine		words
crayon		words
créativité		words
créativité	kreativität	words
crocodile		words
crocodile	krokodil	words
cuisine	küche	words
dauphin		words
dauphin	delfin	words
décision	entscheidung	words
défi	herausforderung	words
déjeuner	mittagessen	words
démarche		words
démarche	vorgehensweise	words
désaccord		words
désaccord	meinungsverschiedenheit	words
développement	entwicklung	words
devoir		words
difficile		words
dilemme		words
dilemme	zwiespalt	words
dimanche		words
dîner	abendessen	words
discipline		words
discours		words
discours	rede	words
discussion		words
diversité		words
diversité	vielfalt	words
dossier		words
douane		words
durabilité		words
durabilité	nachhaltigkeit	words
eau	wasser	words
écharpe		words
école	schule	words
écran		words
écran	bildschirm	words
écureuil	eichhörnchen	words
efficacité	effizienz	words
effort		words
égalité		words
égalité	gleichheit	words
éléphant		words
éléphant	elefant	words
élève		words
embauche		words
embouteillage		words
engagement		words
et	und	words
Et toi ?	Und du?	phrases
Et toi ?	Und dir?	phrases
enjeu		words
enjeu	tragweite	words
entreprise	unternehmen	words
entretien		words
entretien	gespräch	words
environnement	umgebung	words
épanouissement		words
épanouissement	entfaltung	words
épuisement		words
équilibre	balance	words
escale		words
été	sommer	words
éthique		words
éthique	ethik	words
étoile	stern	words
éventualité		words
éventualité	möglichkeit	words
examen		words
Excusez moi.	entschuldigen sie	phrases
exemple		words
exigence		words
exigence	anforderung	words
expérience	erfahrung	words
explication		words
facile		words
facture		words
facture	rechnung	words
faible		words
falaise		words
falaise	klippe	words
famille	familie	words
fenêtre	fenster	words
Ferme la porte, s’il te plaît.	schließ bitte die tür	phrases
Fermez la fenêtre, s il vous plaît.	schließen sie bitte das fenster	phrases
feuille		words
fiabilité		words
fiabilité	zuverlässigkeit	words
fille		words
fleur	blume	words
forêt	wald	words
formulaire		words
fort		words
frère		words
froid		words
fromage	käse	words
frontière		words
frontière	grenze	words
gants		words
garçon		words
gare	bahnhof	words
gâteau	kuchen	words
girafe		words
girafe	giraffe	words
gomme		words
grand		words
gratitude		words
gratitude	dankbarkeit	words
grenouille		words
grenouille	frosch	words
gris		words
habitude		words
habitude	gewohnheit	words
héritage		words
héritage	vermächtnis	words
heureux		words
histoire	geschichte	words
hiver	winter	words
hôpital	krankenhaus	words
hypothèse		words
hypothèse	hypothese	words
identité		words
Il fait meilleur qu hier.	das wetter ist besser als gestern	phrases
Il faut analyser la situation avec précision.	wir müssen die situation genau analysieren	phrases
Il faut suivre les indications.	man muss den hinweisen folgen	phrases
Il faut tenir compte du contexte.	man muss den kontext berücksichtigen	phrases
Il faut trouver une solution durable.	wir müssen eine dauerhafte lösung finden	phrases
Il manque encore quelques détails essentiels.	es fehlen noch einige wichtige details	phrases
Il neige ce matin.	es schneit heute morgen	phrases
Il pleut depuis ce matin.	es regnet seit heute morgen	phrases
Il serait utile de pratiquer plus souvent.	es wäre sinnvoll öfter zu üben	phrases
Il vaut mieux prévenir que guérir.	vorsicht ist besser als nachsicht	phrases
Il y a des étoiles ce soir.	heute abend sieht man sterne	phrases
Il y a trop de bruit ici.	hier ist es zu laut	phrases
immeuble		words
imprimante		words
imprimante	drucker	words
influence		words
injustice		words
injustice	ungerechtigkeit	words
innovation		words
innovation	innovation	words
inquiétude		words
itinéraire		words
itinéraire	route	words
J ai besoin de prendre un peu de recul.	ich muss etwas abstand gewinnen	phrases
J ai faim.	ich habe hunger	phrases
J ai oublié mon billet.	ich habe mein ticket vergessen	phrases
J ai soif.	ich habe durst	phrases
J ai une réservation.	ich habe eine reservierung	phrases
J aime la musique.	ich mag musik	phrases
J aimerais améliorer ma prononciation chaque jour.	ich möchte meine aussprache jeden tag verbessern	phrases
J essaie de garder un bon équilibre.	ich versuche eine gute balance zu halten	phrases
jamais		words
jambe	bein	words
jardin	garten	words
jaune		words
Je cherche mes chaussures.	ich suche meine schuhe	phrases
Je cherche mon hôtel.	ich suche mein hotel	phrases
Je cherche un environnement plus calme.	ich suche eine ruhigere umgebung	phrases
Je cherche une pharmacie de garde.	ich suche eine notapotheke	phrases
Je dois acheter un médicament.	ich muss ein medikament kaufen	phrases
Je dois appeler ma famille.	ich muss meine familie anrufen	phrases
Je lave mes mains.	ich wasche meine hände	phrases
Je m appelle Marie.	ich heiße marie	phrases
Je m'appelle + Name.	Ich heiße + Name.	phrases
Je manque parfois de confiance en moi.	mir fehlt manchmal das selbstvertrauen	phrases
Je me sens plus à l aise en français.	ich fühle mich auf französisch sicherer	phrases
Je n ai pas encore pris ma décision.	ich habe meine entscheidung noch nicht getroffen	phrases
Je n étais pas d accord au début.	ich war am anfang nicht einverstanden	phrases
Je ne comprends pas.	ich verstehe nicht	phrases
