"id","fr","de","wortart","genus","beispielsatz_fr","themenfeld","quelle","created_at"
"1","être","sein","verb","","Je suis à la maison.","Allgemein","",""
"2","avoir","haben","verb","","Nous avons un cours de français.","Allgemein","",""
"3","aller","gehen","verb","","Je vais à l'école à huit heures.","Allgemein","",""
"4","faire","machen","verb","","Elle fait ses devoirs.","Allgemein","",""
"5","venir","kommen","verb","","Mes amis viennent chez moi ce soir.","Allgemein","",""
"6","dire","sagen","verb","","Je te dis la vérité.","Allgemein","",""
"7","voir","sehen","verb","","Je vois la gare depuis la fenêtre.","Allgemein","",""
"8","mettre","legen; stellen","verb","","Je mets les clés sur la table.","Allgemein","",""
"9","prendre","nehmen","verb","","Je prends le métro pour aller au centre-ville.","Allgemein","",""
"10","donner","geben","verb","","Elle me donne son adresse.","Allgemein","",""
"11","trouver","finden","verb","","Je trouve cet exercice assez difficile.","Allgemein","",""
"12","penser","denken","verb","","Je pense que c'est une bonne solution.","Allgemein","",""
"13","croire","glauben","verb","","Je crois qu'il a oublié le rendez-vous.","Allgemein","",""
"14","savoir","wissen","verb","","Je sais où habite Marie.","Allgemein","",""
"15","connaître","kennen","verb","","Je connais bien ce quartier.","Allgemein","",""
"16","pouvoir","können","verb","","On peut commencer maintenant.","Allgemein","",""
"17","vouloir","wollen","verb","","Je veux apprendre à mieux parler français.","Allgemein","",""
"18","devoir","müssen; sollen","verb","","Nous devons finir avant midi.","Allgemein","",""
"19","falloir","müssen; nötig sein","verb","","Il faut attendre ici quelques minutes.","Allgemein","",""
"20","tenir","halten","verb","","Elle tient son téléphone dans la main.","Allgemein","",""
"21","attendre","warten","verb","","J'attends le bus devant le lycée.","Allgemein","",""
"22","rester","bleiben","verb","","Je reste à la maison cet après-midi.","Allgemein","",""
"23","partir","weggehen","verb","","On part dans dix minutes.","Allgemein","",""
"24","sortir","hinausgehen","verb","","Elle sort avec ses amis ce soir.","Allgemein","",""
"25","entrer","eintreten","verb","","Entrez, la porte est ouverte.","Allgemein","",""
"26","ouvrir","öffnen","verb","","Peux-tu ouvrir la porte, s'il te plaît ?","Allgemein","",""
"27","fermer","schließen","verb","","N'oublie pas de fermer la fenêtre.","Allgemein","",""
"28","commencer","anfangen","verb","","Le cours commence à huit heures dix.","Allgemein","",""
"29","finir","beenden","verb","","Je finis mes devoirs avant le dîner.","Allgemein","",""
"30","continuer","fortsetzen","verb","","Nous continuons le projet demain.","Allgemein","",""
"31","apprendre","lernen","verb","","Nous apprenons de nouveaux mots.","Schule","",""
"32","étudier","lernen; studieren","verb","","J'étudie pour le contrôle de demain.","Schule","",""
"33","réviser","wiederholen","verb","","Je révise le vocabulaire avant le cours.","Schule","",""
"34","comprendre","verstehen","verb","","Je comprends mieux la grammaire maintenant.","Schule","",""
"35","répondre","antworten","verb","","Merci de répondre rapidement.","Schule","",""
"36","demander","fragen","verb","","Je vais demander un renseignement.","Schule","",""
"37","expliquer","erklären","verb","","Le professeur explique la nouvelle règle.","Schule","",""
"38","écouter","zuhören","verb","","Écoute bien la consigne.","Schule","",""
"39","lire","lesen","verb","","Nous lisons un texte en classe.","Schule","",""
"40","écrire","schreiben","verb","","Elle écrit une carte postale.","Schule","",""
"41","parler","sprechen","verb","","Nous parlons de nos projets pour l'été.","Schule","",""
"42","répéter","wiederholen","verb","","Peux-tu répéter la dernière phrase ?","Schule","",""
"43","traduire","übersetzen","verb","","Il traduit ce texte en allemand.","Schule","",""
"44","corriger","korrigieren","verb","","Le professeur corrige les copies cet après-midi.","Schule","",""
