source_display	target	card_type	level	word_class	gender	flelex_word	freq_total
avoir	haben	words	A1	verb		avoir	19212.14
dans	in	words	A1	preposition		dans	8885.44
elle	sie	words	A1	pronoun	feminine	elle	6038.16
faire	machen	words	A1	verb		faire	5619.66
plus	am -sten	words	A1	adverb		plus	5590.72
mais	aber	words	A1	conjunction		mais	5297.00
tout	alles / ganz	words	A1	pronoun		tout	4065.53
avec	mit	words	A1	preposition		avec	4037.92
Aller	gehen	words	A1	verb		aller	3931.76
dire	sagen	words	A1	verb		dire	3665.34
pouvoir	können	words	A1	verb		pouvoir	3423.85
lui	ihm / er	words	A1	pronoun		lui	3343.49
bien	gut	words	A1	adverb		bien	2682.03
voir	sehen	words	A1	verb		voir	2293.67
autre	andere(r)	words	A1	adjective		autre	2237.40
cela	das / dies	words	A1	pronoun		cela	2094.53
vouloir	wollen	words	A1	verb		vouloir	1940.96
tout	alles / ganz	words	A1	adverb		tout	1881.54
moi	mir / ich	words	A1	pronoun		moi	1867.69
aussi	auch	words	A1	adverb		aussi	1838.20
l' an	Jahr	words	A1	noun	masculine	an	1795.66
l' homme	Mann	words	A1	noun	masculine	homme	1776.87
grand	groß	words	A1	adjective		grand	1751.44
savoir	wissen	words	A1	verb	masculine	savoir	1693.81
comme	so lala	words	A1	conjunction		comme	1620.40
le jour	Tag	words	A1	noun	masculine	jour	1619.83
venir	kommen	words	A1	verb		venir	1546.97
petit	klein	words	A1	adjective		petit	1516.64
prendre	nehmen	words	A1	verb		prendre	1440.60
devoir	müssen	words	A1	verb	masculine	devoir	1433.04
passer	vorbeigehen	words	A1	verb		passer	1363.36
sans	ohne	words	A1	preposition		sans	1347.79
la femme	Frau	words	A1	noun	feminine	femme	1346.62
alors	daraufhin	words	A1	adverb		alors	1338.66
quelque	einige	words	A1	pronoun		quelque	1290.85
quand ?	wann	words	A1	conjunction		quand	1284.78
l' heure	Stunde	words	A1	noun	feminine	heure	1270.74
peu	wenig	words	A1	adverb		peu	1245.57
trouver	finden	words	A1	verb		trouver	1239.41
parler	sprechen	words	A1	verb		parler	1230.16
le temps	Zeit	words	A1	noun	masculine	temps	1202.58
encore	noch	words	A1	adverb		encore	1200.95
falloir	müssen	words	A1	verb		falloir	1196.26
comme	so lala	words	A1	adverb		comme	1186.66
mettre	setzen / stellen	words	A1	verb		mettre	1179.72
non	nicht wahr	words	A1	adverb		non	1155.97
bon	gut	words	A1	adjective		bon	1140.03
le monde	Welt	words	A1	noun	masculine	monde	1132.93
la vie	Leben	words	A1	noun	feminine	vie	1109.07
donner	geben	words	A1	verb		donner	1087.95
aimer	lieben / mögen	words	A1	verb		aimer	1083.57
nouveau	neu	words	A1	adjective		nouveau	1079.54
enfant	Kind	words	A1	noun		enfant	1071.26
toujours	immer	words	A1	adverb		toujours	1070.37
puis	danach	words	A1	adverb		puis	1061.53
chez	bei / zu Hause	words	A1	preposition		chez	1058.68
demander	fragen / bitten	words	A1	verb		demander	1037.21
entre	zwischen	words	A1	preposition		entre	1032.37
beaucoup	viel	words	A1	adverb		beaucoup	1018.76
oui	doch	phrases	A1	interjection		oui	1006.72
arriver	kommen	words	A1	verb		arriver	998.61
penser	denken	words	A1	verb		penser	988.91
la chose	Sache / Ding	words	A1	noun	feminine	chose	984.73
regarder	lugen	words	A1	verb		regarder	975.66
rester	bleiben	words	A1	verb		rester	967.93
la personne	Mensch	words	A1	noun	feminine	personne	934.21
partir	weggehen / abfahren	words	A1	verb		partir	895.18
jeune	jung	words	A1	adjective		jeune	878.32
la maison	Haus	words	A1	noun	feminine	maison	855.34
depuis	von aus	words	A1	preposition		depuis	854.70
moins	wenigste	words	A1	adverb		moins	841.75
devenir	werden	words	A1	verb		devenir	822.34
seul	allein / einzig	words	A1	adjective		seul	821.64
donc	deshalb	words	A1	adverb		donc	785.80
rien	nichts	words	A1	adverb	masculine	rien	780.55
le pays	Land	words	A1	noun	masculine	pays	771.72
vers	gegen / in Richtung	words	A1	preposition	masculine	vers	750.50
entendre	hören	words	A1	verb		entendre	743.44
le Monsieur	Herr	words	A1	noun	masculine	monsieur	732.34
appeler	rufen / anrufen	words	A1	verb		appeler	727.76
le travail	Arbeit	words	A1	noun	masculine	travail	703.91
beau	schön	words	A1	adjective		beau	701.99
attendre	warten	words	A1	verb		attendre	701.46
sortir	hinausgehen	words	A1	verb		sortir	694.10
la ville	Stadt	words	A1	noun	feminine	ville	693.58
