verb_fr	verb_de	noun_fr	noun_de
abaisser	senken	la voix	die Stimme
abaisser	senken	le niveau	das Niveau
abaisser	senken	le prix	der Preis
abandonner	aufgeben	l'idée	die Idee
abandonner	aufgeben	la personne	die Person
abandonner	aufgeben	le projet	das Projekt
abasourdir	verblüffen	l'ami	der Freund
abasourdir	verblüffen	l'audience	die Zuhörerschaft
abasourdir	verblüffen	le spectateur	der Zuschauer
abattre	abbrechen	l'arbre	der Baum
abattre	abbrechen	l'obstacle	das Hindernis
abattre	abbrechen	le mur	die Wand
abolir	abschaffen	la loi	das Gesetz
abolir	abschaffen	la pratique	die Praxis
abolir	abschaffen	la règle	die Regel
abonner	abonnieren	le journal	die Zeitung
abonner	abonnieren	le magazine	das Magazin
aborder	ansprechen	la question	die Frage
aborder	ansprechen	le problème	das Problem
aborder	ansprechen	le sujet	das Thema
aboutir	enden	la discussion	die Diskussion
aboutir	enden	la situation	die Situation
aboutir	enden	le projet	das Projekt
aboyer	bellen	l'animal	das Tier
aboyer	bellen	la voiture	das Auto
aboyer	bellen	le chien	der Hund
abriter	unterbringen	l'objet	der Gegenstand
abriter	unterbringen	la maison	das Haus
abriter	unterbringen	la personne	die Person
abroger	aufheben	la loi	das Gesetz
abroger	aufheben	le décret	der Erlass
abroger	aufheben	le règlement	die Regelung
abrutir	verblöden	l'auditoire	das Publikum
abrutir	verblöden	l'enfant	das Kind
abrutir	verblöden	la personne	die Person
abréger	verkürzen	la phrase	der Satz
abréger	verkürzen	le texte	der Text
abréger	verkürzen	temps	die Zeit
absenter	fehlen	l'événement	das Ereignis
absenter	fehlen	la réunion	das Treffen
absorber	absorbieren	l'information	die Information
absorber	absorbieren	le choc	der Schock
absoudre	vergeben	l'erreur	der Fehler
absoudre	vergeben	la culpabilité	die Schuld
abstraire	abstrahieren	l'idée	die Idee
abstraire	abstrahieren	le concept	das Konzept
abuser	missbrauchen	de l'alcool	der Alkohol
abuser	missbrauchen	de la confiance	das Vertrauen
abîmer	beschädigen	l'objet	der Gegenstand
abîmer	beschädigen	la voiture	das Auto
abîmer	beschädigen	le meuble	das Möbel
accabler	überwältigen	la personne	die Person
accabler	überwältigen	la situation	die Situation
accabler	überwältigen	le travail	die Arbeit
accaparer	in Anspruch nehmen	temps	die Zeit
accentuer	betonen	l'aspect	der Aspekt
accentuer	betonen	le détail	das Detail
accentuer	betonen	le point	der Punkt
accepter	akzeptieren	l'invitation	die Einladung
accepter	akzeptieren	l'offre	das Angebot
accepter	akzeptieren	une proposition	der Vorschlag
accidenter	unfall haben	la moto	das Motorrad
accidenter	unfall haben	la voiture	das Auto
accidenter	unfall haben	le véhicule	das Fahrzeug
acclamer	applaudieren	l'artiste	der Künstler
acclamer	applaudieren	l'équipe	die Mannschaft
acclamer	applaudieren	le spectacle	das Schauspiel
acclimater	akklimatisieren	l'animal	das Tier
acclimater	akklimatisieren	l'environnement	die Umwelt
acclimater	akklimatisieren	la plante	die Pflanze
accoler	ankleben	l'image	das Bild
accoler	ankleben	l'étiquette	das Etikett
accoler	ankleben	le papier	das Papier
accommoder	anpassen	la demande	die Anfrage
accommoder	anpassen	la situation	die Situation
accommoder	anpassen	le besoin	das Bedürfnis
accompagner	begleiten	l'ami	der Freund
accompagner	begleiten	l'enfant	das Kind
accompagner	begleiten	le parent	der Elternteil
accomplir	machen	l'objectif	das Ziel
accomplir	machen	la tâche	die Aufgabe
accorder	gewähren	l'aide	die Hilfe
accorder	gewähren	la permission	die Erlaubnis
accorder	gewähren	temps	die Zeit
accoter	stützen	la chaise	der Stuhl
accoter	stützen	la table	der Tisch
accoter	stützen	le mur	die Wand
accoucher	entbinden	femme	die Frau
accoucher	entbinden	la mère	die Mutter
accoucher	entbinden	le bébé	das Baby
accouder	sich lehnen	la fenêtre	das Fenster
accouder	sich lehnen	la table	der Tisch
accouder	sich lehnen	le bar	die Bar
