source_display	target	card_type	level	word_class	gender	topic	flelex_word	freq_total
être	sein	words	A1	verb		Allgemein	être	28371.47
avoir	haben	words	A1	verb		Allgemein	avoir	19212.14
dans	in	words	A1	preposition		Allgemein	dans	8885.44
pour	für	words	A1	preposition		Allgemein	pour	6865.43
elle	sie	words	A1	pronoun		Allgemein	elle	6038.16
faire	machen	words	A1	verb		Allgemein	faire	5619.66
plus	mehr	words	A1	adverb		Allgemein	plus	5590.72
mais	aber	words	A1	conjunction		Allgemein	mais	5297.00
tout	alles	words	A1	pronoun		Allgemein	tout	4065.53
avec	mit	words	A1	preposition		Allgemein	avec	4037.92
aller	gehen	words	A1	verb		Allgemein	aller	3931.76
dire	sagen	words	A1	verb		Allgemein	dire	3665.34
pouvoir	können	words	A1	verb		Allgemein	pouvoir	3423.85
lui	ihm	words	A1	pronoun		Allgemein	lui	3343.49
bien	gut	words	A1	adverb		Allgemein	bien	2682.03
très	sehr	words	A1	adverb		Allgemein	très	2458.41
voir	sehen	words	A1	verb		Allgemein	voir	2293.67
autre	anderer	words	A1	adjective		Allgemein	autre	2237.40
cela	das	words	A1	pronoun		Allgemein	cela	2094.53
vouloir	wollen	words	A1	verb		Allgemein	vouloir	1940.96
moi	mich	words	A1	pronoun		Allgemein	moi	1867.69
aussi	auch	words	A1	adverb		Allgemein	aussi	1838.20
un	ein	words	A1	noun	m	Allgemein	an	1795.66
homme	der Mann	words	A1	noun	m	Allgemein	homme	1776.87
grand	groß	words	A1	adjective		Allgemein	grand	1751.44
savoir	wissen	words	A1	verb		Allgemein	savoir	1693.81
comme	wie	words	A1	conjunction		Allgemein	comme	1620.40
jour	der Tag	words	A1	noun	m	Allgemein	jour	1619.83
venir	kommen	words	A1	verb		Allgemein	venir	1546.97
où	wo	words	A1	pronoun		Allgemein	où	1545.30
petit	klein	words	A1	adjective		Allgemein	petit	1516.64
prendre	nehmen	words	A1	verb		Allgemein	prendre	1440.60
devoir	müssen	words	A1	verb		Allgemein	devoir	1433.04
passer	verbringen	words	A1	verb		Allgemein	passer	1363.36
sans	ohne	words	A1	preposition		Allgemein	sans	1347.79
femme	die Frau	words	A1	noun	f	Allgemein	femme	1346.62
alors	dann	words	A1	adverb		Allgemein	alors	1338.66
là	da	words	A1	adverb		Allgemein	là	1314.51
quelque	einige	words	A1	pronoun		Allgemein	quelque	1290.85
quand	wann	words	A1	conjunction		Allgemein	quand	1284.78
heure	die Stunde	words	A1	noun	f	Allgemein	heure	1270.74
peu	wenig	words	A1	adverb		Allgemein	peu	1245.57
trouver	finden	words	A1	verb		Allgemein	trouver	1239.41
parler	sprechen	words	A1	verb		Allgemein	parler	1230.16
temps	die Zeit	words	A1	noun	m	Allgemein	temps	1202.58
encore	noch	words	A1	adverb		Allgemein	encore	1200.95
